id,question,ground_truth,answer,f1,exact_match,length_ratio
E001,What are the steps for an engine fire during flight?,"Mixture - IDLE CUTOFF, Fuel Selector - OFF, Master Switch - OFF, Cabin Heat/Air - OFF, Airspeed - increase to extinguish fire, execute forced landing.","of the regulations, and what is “smart” or “safe” in terms of 
pilot experience and proficiency.
P = Pilot in Command (PIC) 
The pilot is one of the risk factors in a flight. The pilot must 
ask, “Am I ready for this trip?” in terms of experience, 
recency, currency, physical, and emotional condition. The 
IMSAFE checklist provides the answers.
A = Aircraft 
What limitations will the aircraft impose upon the trip? Ask 
the following questions:
•  Is this the right aircraft for the flight?
• Am I familiar with and current in this aircraft? Aircraft  
performance figures and the AFM are based on a brand 
new aircraft flown by a professional test pilot. Keep

Figure 18-6. Emergency descent. 
When the descent is established and stabilized during training and practice, the descent should be terminated. In airplanes with piston 
engines, prolonged practice of emergency descents should be avoided to prevent excessive cooling of the engine cylinders. 
In-Flight Fire 
A fire in-flight demands immediate and decisive action. The pilot should be familiar with the procedures outlined to meet this 
emergency contained in the AFM/POH for the particular airplane. For the purposes of this handbook, in-flight fires are classified as 
in-flight engine fires, electrical fires, and cabin fires. 
Engine Fire

If the FAULT light stays extinguished and both ENG 
OVERHEAT lights and engine fire switches illuminate, loop B 
is good.
If the FAULT light illuminates and the ENG OVERHEAT light 
and engine fire switch for an engine extinguished, there is a fault 
in loop B of the detection system for that engine.
OVHT DET switches...................................................As required
Select the good loop for each engine (NORMAL if both loops 
tested good).
Test switch ................................................................ OVHT/FIRE
If the test is successful leave the fire panel in this configuration 
for flight.
Fire and Overheat System Test with an Inoperative Loop",0.04968944099378882,0.0,14.571428571428571
E002,How should a pilot respond to smoke in the cockpit?,"Establish best glide, turn off non-essential electrical equipment, identify and isolate the source, consider using fire extinguisher, land as soon as practicable.","also how to respond to a trim-run-away condition. Part of the preflight inspection should include actuating the trim switch in both 
nose-up and nose-down directions, verifying that the trim disconnect (if equipped) is properly functioning, and then properly setting 
the takeoff trim position. 
Figure 17-12. Trim control. 
17-10

Elevator trim on many LSAs is electrically actuated with no mechanical trim adjustment available. [Figure 17-12] Depending on the 
airplane, trim position indication may be displayed on the EFIS, an LED display, or with a mechanical indicator. On electric trim 
systems, as it is with any airplane, it is important to ensure that the trim position is correctly set prior to takeoff. Because trim 
positioning/indicting systems vary widely in light-sport airplanes, pilots should fully understand not only how to position the trim, but 
also how to respond to a trim-run-away condition. Part of the preflight inspection should include actuating the trim switch in both

light control forces can result in a pilot making control deflections that exceed those necessary to compensate for the crosswind. 
Emergencies 
While an LSA is designed to be simple, a complete knowledge of its systems is needed such that a transitioning pilot is able to 
respond properly to any emergency. 
The airplane’s POH describes the appropriate responses to the various emergency situations that may be encountered. [Figure 17-16] 
Consider a few examples: the EFIS is displaying a red “X” across the airspeed tape, electric trim runaway, or control system failure. 
The pilot should be able to respond to immediate action items from memory and locate emergency procedures quickly. In the",0.048484848484848485,0.0,11.956521739130435
E003,What is the immediate action for rapid depressurization?,"Don oxygen masks, establish communication, initiate emergency descent to a safe altitude and level off, monitor passengers.","and increases the loss of altitude; this illusion is referred to 
as a “graveyard spiral.” [Figure 17-5] This may lead to a 
loss of aircraft control.
Somatogravic Illusion
A rapid acceleration, such as experienced during takeoff, 
stimulates the otolith organs in the same way as tilting the 
head backwards. This action may create what is known as 
the “somatogravic illusion” of being in a nose-up attitude, 
especially in conditions with poor visual references. The 
disoriented pilot may push the aircraft into a nose-low or 
dive attitude. A rapid deceleration by quick reduction of the 
throttle(s) can have the opposite effect, with the disoriented

step in a checklist is applicable to all airplanes, airplane effectivity information is 
not included.
Non–normal checklist use starts when the airplane flight path and configuration 
are correctly established. Only a few situations need an immediate response (such 
as CABIN ALTITUDE WARNING or Rapid Depressurization). Usually, time is 
available to assess the situation before corrective action is started. All actions must 
then be coordinated under the captain's supervision and done in a deliberate, 
systematic manner. Flight path control must never be compromised.
When a non–normal situation occurs in the air, at the direction of the pilot flying,

Emergency Descents 
An emergency descent is a maneuver for descending as rapidly as possible to a lower altitude or to the ground for an emergency 
landing. [Figure 18-6 ] The need for this maneuver may result from an uncontrollable fire, a sudden loss of cabin pressurization, or 
any other situation demanding an immediate and rapid descent. The objective is to descend the airplane as soon and as rapidly as 
possible while not exceeding any structural limitations of the airplane. Simulated emergency descents should be made in a turn to 
check for other air traffic below and to look around for a possible emergency landing area. A radio call announcing descent",0.06451612903225806,0.0,18.647058823529413
W001,What does 'OVC003' in a METAR indicate?,Overcast cloud layer with base at 300 feet above ground level.,"13-6
Aviation Routine Weather Report (METAR)
A METAR is an observation of current surface weather 
reported in a standard international format. While the 
METAR code has been adopted worldwide, each country is 
allowed to make modifications to the code. Normally, these 
differences are minor but necessary to accommodate local 
procedures or particular units of measure. This discussion of 
METAR covers elements used in the United States.
METARs are issued on a regularly scheduled basis unless 
significant weather changes have occurred. A special 
METAR (SPECI) can be issued at any time between routine 
METAR reports.
Example:
METAR KGGG 161753Z AUTO 14021G26KT 3/4SM

METAR (SPECI) can be issued at any time between routine 
METAR reports.
Example:
METAR KGGG 161753Z AUTO 14021G26KT 3/4SM
+TSRA BR BKN008 OVC012CB 18/17 A2970 RMK
PRESFR
A typical METAR report contains the following information 
in sequential order:
1. Type of report—there are two types of METAR 
reports. The first is the routine METAR report that is 
transmitted on a regular time interval. The second is 
the aviation selected SPECI. This is a special report 
that can be given at any time to update the METAR for 
rapidly changing weather conditions, aircraft mishaps, 
or other critical information.
2. Station identifier—a four-letter code as established by

Graphical METARs
METARs can be displayed on the MFD. Each reporting 
station that has a METAR/TAF available is depicted by a flag 
from the center of the airport symbol. Each flag is color coded 
to depict the type of weather that is currently reported at that 
station. A legend is available to assist users in determining 
what each flag color represents. [Figure 13-21] 
The graphical METAR display shows all available reporting 
stations within the set viewing range. By setting the range 
knob up to a 2,000 mile range, pilots can pan around the 
display map to check the current conditions of various 
airports along the route of flight.",0.01092896174863388,0.0,29.454545454545453
W002,How is visibility reported in a METAR for 10 statute miles or more?,Visibility of 10 statute miles or more is reported as 10SM.,"the winds are gusting, the letter “G” follows the wind 
speed (G26KT). After the letter “G,” the peak gust 
recorded is provided. If the wind direction varies more 
than 60° and the wind speed is greater than six knots, 
a separate group of numbers, separated by a “V,” will 
indicate the extremes of the wind directions. 
6. Visibility—the prevailing visibility (¾ SM) is reported 
in statute miles as denoted by the letters “SM.” It is 
reported in both miles and fractions of miles. At times, 
runway visual range (RVR) is reported following the 
prevailing visibility. RVR is the distance a pilot can 
see down the runway in a moving aircraft. When RVR

weather stations of various types. 
 
Visibility
Closely related to cloud cover and reported ceilings is 
visibility information. Visibility refers to the greatest 
horizontal distance at which prominent objects can be 
viewed with the naked eye. Current visibility is also reported 
in METAR and other aviation weather reports, as well as 
by automated weather systems. Visibility information, as 
predicted by meteorologists, is available for a pilot during a 
preflight weather briefing.
Precipitation
Precipitation refers to any type of water particles that 
form in the atmosphere and fall to the ground. It has a 
profound impact on flight safety. Depending on the form of

15-8
Distance from CloudsAirspace Flight Visibility
Basic VFR Weather Minimums
    Not applicable Not applicable
 
    3 statute miles Clear of clouds
    3 statute miles 1,000 feet above
     500 feet below
     2,000 feet horizontal
    3 statute miles 1,000 feet above
     500 feet below
     2,000 feet horizontal
    5 statute miles 1,000 feet above
     1,000 feet below
     1 statute mile horizontal
    3 statute miles 1,000 feet above
     500 feet below
     2,000 feet horizontal
   Day, except as provided in section 91.155(b)  1 statute mile Clear of clouds
   Night, except as provided in section 91.155(b) 3 statute miles 1,000 feet above
     500 feet below",0.09876543209876543,0.0,29.727272727272727
W003,What does RMK AO2 mean in a METAR?,AO2 indicates an automated station with a precipitation sensor.,"phenomenon, pressure information, and various other 
information deemed necessary. An example of a
remark regarding weather phenomenon that does not
fit in any other category would be: OCNL LTGICCG. 
This translates as occasional lightning in the clouds
and from cloud to ground. Automated stations also use 
the remarks section to indicate the equipment needs
maintenance.
Example:
METAR KGGG 161753Z AUTO 14021G26KT 3/4SM
+TSRA BR BKN008 OVC012CB 18/17 A2970 RMK
PRESFR

achieve the same ROT used at the lower airspeed  
 of 120 knots. 
Figure 5-58. To achieve the same rate of turn of an aircraft traveling 
at 120 knots, an increase of bank angle is required.
120 knots 
 11.26 x tangent of bank angle 
R =  
 1202 
11.26 x tangent of 30° R = 
V2 
R = 11.26 x 0.5773 
14,400 
R = 2,215 feet 
 
 
 The radius of a turn required by an aircraft traveling at 120 knots 
and using a bank angle of 
30° is 2,215 feet
Figure 5-59. Radius at 120 knots with bank angle of 30°.
What does this mean on a practicable side? If a given 
airspeed and bank angle produces a specific ROT, additional 
conclusions can be made. Knowing the ROT is a given number

To develop th e crucial skills to preven t LOC-I, a pilot may receiv e academic or on-aircraf t upset prevention and recovery training 
(UPRT), which should include: slow flight, stalls, spins, and unusual attitudes. 
Upset training places considerable emphasis on understanding and preventing an upset, so a pilot avoids such a situation. If an upset 
does occur, upset training also reinforces proper recovery techniques. A detailed discussion of UPRT follows, including core 
concepts, what the training should include, and what airplanes or kinds of simulation can be used for the training. A discussion 
of various maneuvers and how to execute them follows later in this chapter.",0.04301075268817204,0.0,35.0
R001,What is the minimum safe altitude over a congested area?,At least 1000 feet above the highest obstacle within a horizontal radius of 2000 feet of the aircraft.,"14 Outflow VALVE switch . . . . . . . Adjust to maintain
a cabin differential
pressure of 0 psi
15 Plan to land at the nearest suitable airport.
  Continued on next page 
 CARGO DOOR continued
Minimum safe altitude is at or below 9000 feet:
ffGo to step 8
Minimum safe altitude is between 9000 feet 
and 13,000 feet:
ffGo to step 10
Minimum safe altitude is at or above 13,000 
feet:
ffGo to step 12
Note: The intermittent cabin altitude/configuration 
warning horn will sound and the CABIN 
ALTITUDE lights (if installed and operative) 
will illuminate at a cabin altitude of 
approximately 10,000 feet.
Note: The intermittent cabin altitude/configuration

of a wing. It is closed in normal flight but extends at high 
angles of attack. This allows air to continue flowing over the 
top of the wing and delays airflow separation.
MRA. See minimum reception altitude.
MSA. See minimum safe altitude.
MSL. See mean sea level.

sometimes referred to as cruise climb. 
⦁ Best rate of climb (VY)—produces the most altitude gained over a given amount of time. This airspeed is 
typically used when initially departing a runway without obstructions until it is safe to transition to a normal 
or cruise climb configuration. 
⦁ Best angle of climb (VX)—performed at an airspeed that produces the most altitude gain over a given 
horizontal distance. The best angle of climb results in a steeper climb, although the airplane takes more 
time to reach the same altitude than it would at best rate of climb airspeed. The best angle of climb is used 
to clear obstacles, such as a strand of trees, after takeoff. [Figure 3-19]",0.08974358974358976,0.0,15.166666666666666
R002,What documents are required to be on board an aircraft (ARROW)?,"Airworthiness Certificate, Registration Certificate, Radio license (if required), Operating limitations, and Weight and balance data.","9-1
Introduction
Each aircraft comes with documentation and a set of manuals 
with which a pilot must be familiar in order to fly that aircraft. 
This chapter covers airplane flight manuals (AFM), the 
pilot’s operating handbook (POH), and aircraft documents 
pertaining to ownership, airworthiness, maintenance, and 
operations with inoperative equipment. Knowledge of these 
required documents and manuals is essential for a pilot to 
conduct a safe flight. 
Airplane Flight Manuals (AFM)
Flight manuals and operating handbooks are concise reference 
books that provide specific information about a particular 
aircraft or subject. They contain basic facts, information,

are used to verify the aircraft instruments and systems are 
checked, set, and operating properly, as well as ensuring 
the proper procedures are performed if there is a system 
malfunction or in-flight emergency. Students reluctant to 
use checklists can be reminded that pilots at all levels of 
experience refer to checklists, and that the more advanced the 
aircraft is, the more crucial checklists become. In addition, the 
pilot’s operating handbook (POH) is required to be carried on 
board the aircraft and is essential for accurate flight planning 
and resolving in-flight equipment malfunctions. However, 
the most valuable resource a pilot has is the ability to manage

books that provide specific information about a particular 
aircraft or subject. They contain basic facts, information, 
and/or instructions for the pilot about the operation of an 
aircraft, flying techniques, etc., and are intended to be kept 
on hand for ready reference.
Flight Manuals and 
Other Documents
Chapter 9",0.07246376811594203,0.0,16.933333333333334
N001,What is maneuvering speed (Va)?,"The maximum speed at which full, abrupt control movements can be made without overstressing the aircraft; Va decreases with lower weight.","737 Flight Crew Operations Manual
Flight Instruments, Displays -
PFD/ND – Displays
Boeing Proprietary. Copyright © Boeing. May be subject to export restrictions under EAR. See title page for details.
D6-27370-8AS-RYR(AS) 10.11.9
2 Flaps Maneuvering Speeds (green)
Indicates flap maneuvering speed for the displayed flap position:
• displayed after gross weight is entered in the CDU or after takeoff gross 
weight is set with the speed reference selector
• when the V2+15 bug is displayed for takeoff, the flap maneuvering 
speed bug for the current flap setting is not displayed, except for flaps 1 
takeoff
• numbered flap maneuvering speed bugs are removed when flap lever is

stall at 70 knots if the bank is increased to 60°. Stalling speed increases at the square root of the load factor. As the bank angle 
increases in level flight, the margin between stalling speed and maneuvering speed decreases. At speeds at or below V
A or VO, the 
airplane will stall before exceeding the design load limit. 
In addition to the increased load factors, the airplane will exhibit what is called “overbanking tendency” as previously discussed in 
Chapter 3, Basic Flight Maneuvers. In most flight maneuvers, bank angles are shallow enough that the airplane exhibits positive or

waypoints, constraints, or speed restrictions.
Displays XXX/MCP when speed intervention is active.
On ECON PATH or ECON SPD DES pages, displays the computed values for 
target Mach and airspeed. Speeds are performance limited.
Manual entries may be made and cause the manual PATH or manual SPD DES 
page for that value to display (M.720 SPD DES is depicted).
Blank for any PATH DES page if a path descent is not available.
4 Speed Restriction (SPD REST)
Displays the most restrictive of the following speeds:
• speed restrictions at the destination airport minus 10 knots
• waypoint speed restriction if greater than minimum flaps up 
maneuvering speed
• minimum flaps up maneuvering speed",0.08602150537634409,0.0,15.142857142857142
N002,How does bank angle affect stall speed?,"Stall speed increases with bank angle because the load factor increases; the steeper the bank, the higher the stall speed.","airplane has a high angle of bank. Each airplane’s level turning performance is limited by structural and aerodynamic design, as well 
as available power. The airplane’s limiting load factor determines the maximum bank angle that can be maintained in level flight 
without exceeding the airplane’s structural limitations or stalling. As the load factor increases, so does the stalling speed. For 
example, if an airplane stalls in level flight at 50 knots, it will stall at 60 knots in a 45° steep turn while maintaining altitude. It will 
stall at 70 knots if the bank is increased to 60°. Stalling speed increases at the square root of the load factor. As the bank angle

the projection of the visual reference line to the pylon appears to pivot. Visually, a taut string, if extended from the pilot's eyes to the 
pylon, would remain parallel to lateral axis as the airplane makes a turn around the pylon. [Figure 7-12] The pivotal altitude does not 
vary with the angle of bank unless the bank is steep enough to affect the groundspeed. 
Figure 7-12. Speed versus pivotal altitude. 
7-15

An airplane typically stalls during a level, coordinated turn similar to the way it does in wings-level flight, except that the stall buffet 
can be sharper. If the turn is coordinated at the time of the stall, the airplane’s nose pitches away from the pilot just as it does in a 
wings-level stall since both wings will tend to stall nearly simultaneously. If the airplane is not properly coordinated at the time of 
stall, the stall behavior may include a change in bank angle until the AOA has been reduced. It is important to take recovery action at 
the first indication of a stall (if impending stall training/checking) or immediately after the stall has fully developed (if full stall",0.11612903225806454,0.0,15.7
