id,question,ground_truth,answer,category,difficulty,requires_context,f1,exact_match,length_ratio
E001,What are the steps for an engine fire during flight?,"Mixture - IDLE CUTOFF, Fuel Selector - OFF, Master Switch - OFF, Cabin Heat/Air - OFF, Airspeed - increase to extinguish fire, execute forced landing.","Unless the airplane manufacturer directs otherwise in the AFM/POH, the first step on discovering a fire should be to shut off the fuel supply to the engine by placing the mixture control in the idle cut off position and the fuel selector shutoff valve to the OFF position.",emergency_procedure,high,,0.2641509433962264,0.0,2.3333333333333335
E002,How should a pilot respond to smoke in the cockpit?,"Establish best glide, turn off non-essential electrical equipment, identify and isolate the source, consider using fire extinguisher, land as soon as practicable.",A fire or smoke in the cabin should be controlled by identifying and shutting down the faulty system,emergency_procedure,medium,,0.15384615384615383,0.0,0.782608695652174
E003,What is the immediate action for rapid depressurization?,"Don oxygen masks, establish communication, initiate emergency descent to a safe altitude and level off, monitor passengers.",a change in cabin pressure in which the lungs decompress faster than the cabin,emergency_procedure,medium,,0.07142857142857142,0.0,0.8235294117647058
W001,What does 'OVC003' in a METAR indicate?,Overcast cloud layer with base at 300 feet above ground level.,no precipitation discriminator,weather,easy,,0.0,0.0,0.2727272727272727
W002,How is visibility reported in a METAR for 10 statute miles or more?,Visibility of 10 statute miles or more is reported as 10SM.,in statute miles as denoted by the letters “SM.”,weather,easy,,0.3,0.0,0.8181818181818182
W003,What does RMK AO2 mean in a METAR?,AO2 indicates an automated station with a precipitation sensor.,with precipitation discriminator,weather,medium,,0.3333333333333333,0.0,0.3333333333333333
R001,What is the minimum safe altitude over a congested area?,At least 1000 feet above the highest obstacle within a horizontal radius of 2000 feet of the aircraft.,"3,000 feet",regulation,medium,,0.1111111111111111,0.0,0.16666666666666666
R002,What documents are required to be on board an aircraft (ARROW)?,"Airworthiness Certificate, Registration Certificate, Radio license (if required), Operating limitations, and Weight and balance data.",make and model aircraft to be used for the practical test (driver’s license or medical certificate for sport pilot applicants) • The pilot log book records • A graduation certificate from an FAA-approved school (if applicable) The applicant must provide an airworthy aircraft with equipment relevant to the areas of operation required for the practical test. He or she will also be asked to produce and explain the following: • Aircraft’s registration certificate • Aircraft’s airworthiness certificate • Aircraft’s operating limitations or FAA-approved aircraft flight manual (if required) • Aircraft equipment list • Required weight and balance data • Maintenance records,regulation,easy,,0.31999999999999995,0.0,6.6
N001,What is maneuvering speed (Va)?,"The maximum speed at which full, abrupt control movements can be made without overstressing the aircraft; Va decreases with lower weight.",The “rough air” speed and the maximum speed for abrupt maneuvers,performance,medium,,0.2758620689655173,0.0,0.5238095238095238
N002,How does bank angle affect stall speed?,"Stall speed increases with bank angle because the load factor increases; the steeper the bank, the higher the stall speed.","As the bank angle increases in level flight, the margin between stalling speed and maneuvering speed decreases",performance,medium,,0.3703703703703704,0.0,0.85
C001,"Given current METAR showing 2SM visibility and OVC004, can a VFR flight depart?","With 2 statute miles visibility and overcast at 400 feet, conditions are below typical VFR minimums for most airspace; VFR departure is generally not allowed.",no,weather,high,metar,0.0,0.0,0.04
C002,"If the aircraft is at 5000 ft, 120 KIAS, and level, is this a stable cruise configuration?","At 5000 feet and 120 knots indicated airspeed, level flight generally represents a stable cruise configuration if power and trim are set correctly.",yes,telemetry_reasoning,medium,telemetry,0.0,0.0,0.043478260869565216
