query,response,response_time,source_grounded,expresses_uncertainty,response_length,token_overlap_f1,exact_match,rouge1_f1,rouge1_precision,rouge1_recall,rouge2_f1,rougeL_f1,question_id,category,difficulty
What are the immediate steps for an engine fire during flight?,"shut off the fuel supply to the engine by placing the mixture control in the idle cut off position and the fuel selector shutoff valve to the OFF position. The ignition switch should be left ON in order to use up the fuel that remains in the fuel lines and components between the fuel selector/shutoff valve and the engine. This procedure may starve the engine compartment of fuel and cause the fire to die naturally. If the flames are snuffed out, no attempt should be made to restart the engine. If the engine compartment fire is oil-fed, as evidenced by thick black smoke, as opposed to a fuel-fed fire, which produces bright orange flames, the pilot should consider stopping the propeller rotation by feathering or other means, such as (with constant-speed propellers) placing the pitch control lever to the minimum rpm position and raising the nose to reduce airspeed until the propeller fluid, to come in contact with a hot surface.",88.15664219856262,False,False,938,0.15384615384615385,False,0.11458333333333333,0.06666666666666667,0.4074074074074074,0.031578947368421054,0.10416666666666666,E001,emergency_procedure,high
How do you handle electrical fire in flight?,"1. Turning the electrical master switch OFF. 2. Turning all individual electrical switches OFF. 3. Turning the master switch back ON. 4. Selecting electrical switches that were ON before the fire indication one at a time, permitting a short time lap se after each switch is turned on to check for signs of odor, smoke, or sparks. If electrical power is absolutely essential for the flight, an attempt may be made to identify and isolate the faulty circuit by: 1. Turning the electrical master switch OFF. 2. Turning all individual electrical switches OFF. 3. Turning the master switch back ON. 4. Selecting electrical switches that were ON before the fire indication one at a time, permitting a short time lap se after each switch is turned on to check for signs of odor, smoke, or sparks. If electrical power is absolutely essential for the flight, an attempt may be made to identify and isolate the faulty circuit by: 1. Turning the electrical master switch OFF. 2. Turning all individual electrical switches OFF. 3. Turning the master switch back ON. 4. Selecting electrical switches that were ON before the fire indication one at a time, permitting a short time lap se after each switch is turned on to check for signs of odor, smoke, or sparks. If electrical power is absolutely essential for the flight, an attempt may be made to identify and isolate the faulty circuit by: 1. Turning the electrical master switch OFF. 2. Turning all individual electrical switches OFF. 3. Turning the master switch back ON. 4. Selecting electrical switches that were ON before the fire indication one at a time, permitting a short time lap se after each switch is turned on to check for signs of odor, smoke, or sparks. If electrical power is absolutely essential for the flight, an attempt may be made to identify and isolate the faulty circuit by: 1. Turning the electrical master switch OFF. 2. Turning all individual electrical switches OFF. 3. Turning the master switch back ON. 4. Selecting electrical switches that were ON before the fire indication one at a time, permitting a short time lap se after each switch is turned on to check for signs of odor, smoke, or sparks. If electrical power is absolutely essential for the flight, an attempt may be made to identify and isolate the faulty circuit by: 1. Turning the electrical master switch OFF. 2. Turning all individual electrical",194.15743160247803,False,False,2381,0.24691358024691357,False,0.05092592592592592,0.02702702702702703,0.44,0.023255813953488372,0.05092592592592592,E002,emergency_procedure,high
What is the procedure for engine failure during takeoff?,"A takeoff or go-around is the most critical time to suffer an engine failure. The airplane will be slow, close to the ground, and may even have landing gear and flaps extended. An engine failure before a certain airspeed or point results in an aborted takeoff. An engine failure after a certain airspeed and point, with the gear up, and climb performance assured result in a continued takeoff. An engine failure after a certain airspeed and point, with the gear up, and climb performance assured result in a continued takeoff.",48.430068254470825,False,False,526,0.0,False,0.0,0.0,0.0,0.0,0.0,E003,emergency_procedure,high
How should a pilot respond to carburetor ice indication?,"full carburetor heat should be applied immediately, and it should be left in the ON position until the pilot is certain that all the ice has been removed. If detected, full carburetor heat should be applied immediately, and it should be left in the ON position until the pilot is certain that all the ice has been removed. If ice is not present, the gradual increase in manifold pressure is noticed until the carburetor heat is turned off. It is imperative for a pilot to recognize carburetor ice when it forms during flight to prevent a loss in power, altitude, and/or airspeed. These symptoms may sometimes be accompanied by vibration or engine roughness. Once a power loss is carburetor heat system. Carburetor heat Carburetor heat is an anti-icing system that preheats the air before it reaches the carburetor and is intended to keep the fuel-air mixture above freezing to prevent the formation of carburetor ice. Carburetor heat should be checked during the engine runup. When using carburetor heat, follow the manufacturer’s recommendations.",101.03351879119873,False,False,1047,0.17475728155339806,False,0.12121212121212122,0.06818181818181818,0.5454545454545454,0.030612244897959183,0.101010101010101,E004,emergency_procedure,medium
What are the steps for emergency descent?,"high drag, high airspeed procedures requiring a specific airplane configuration (such as power to idle, propellers forward, landing gear extended, and flaps retracted), and a specific emergency descent airspeed",20.86189031600952,False,False,210,0.17777777777777778,False,0.19999999999999998,0.1724137931034483,0.23809523809523808,0.0,0.08,E005,emergency_procedure,medium
How do you interpret METAR visibility data?,A legend is available to assist users in determining what each flag color represents.,9.911137819290161,False,False,85,0.11764705882352941,False,0.10256410256410256,0.14285714285714285,0.08,0.0,0.10256410256410256,W001,weather,medium
What does SCT050 mean in a METAR report?,A legend is available to assist users in determining what each flag color represents.,9.492280960083008,False,False,85,0.058823529411764705,False,0.057142857142857134,0.07142857142857142,0.047619047619047616,0.0,0.057142857142857134,W003,weather,medium
How do you decode altimeter setting in METAR?,A legend is available to assist users in determining what each flag color represents.,10.000438690185547,False,False,85,0.15384615384615383,False,0.15,0.21428571428571427,0.11538461538461539,0.0,0.1,W005,weather,medium
What weather conditions require an alternate airport in the flight plan?,"hot (near 90 °F) hazy (visibility 7 miles), and humid with a density altitude of 2,500 feet.",14.56642484664917,False,False,92,0.13333333333333333,False,0.11538461538461539,0.16666666666666666,0.08823529411764706,0.0,0.07692307692307691,W006,weather,high
What is the minimum safe altitude over congested areas?,"between 9000 feet and 13,000 feet: ffGo to step 10",9.317901849746704,False,False,50,0.14814814814814817,False,0.18749999999999997,0.2727272727272727,0.14285714285714285,0.06666666666666667,0.18749999999999997,N001,regulations,medium
